"name","size","phrase","first_occur","song"
"so",2,0,11,"Shape of you"
"somebody",2,0,87,"Shape of you"
"somethin",2,0,7,"Havana"
"sorry",2,0,112,"Hello"
"sour",1,0,200,"Shape of you"
"start",2,0,37,"Shape of you"
"stop",1,0,56,"Shape of you"
"story",1,0,159,"Shape of you"
"such",2,0,68,"Hello"
"supposed",2,0,24,"Hello"
"sweet",1,0,197,"Shape of you"
"table",1,0,24,"Shape of you"
"take",1,0,53,"Shape of you"
"take me back",6,1,190,"Havana"
"talk",2,0,108,"Hello"
"talk",4,0,32,"Shape of you"
"taxi",1,0,213,"Shape of you"
"tear",6,0,94,"Hello"
"tell",2,0,81,"Havana"
"tell",1,0,219,"Shape of you"
"that",4,0,17,"Havana"
"that",8,0,22,"Hello"
"that",2,0,111,"Shape of you"
"that's",1,0,173,"Havana"
"the",2,0,150,"Havana"
"the",10,0,61,"Hello"
"the",12,0,1,"Shape of you"
"then",2,0,77,"Havana"
"then",3,0,30,"Shape of you"
"there's",4,0,6,"Havana"
"there's",2,0,67,"Hello"
"these",2,0,10,"Hello"
"they",1,0,180,"Havana"
"they",2,0,20,"Hello"
"this",1,0,154,"Havana"
"thrifty",1,0,172,"Shape of you"
"time",2,0,143,"Hello"
"time's",2,0,23,"Hello"
"to",4,0,80,"Havana"
"to",10,0,14,"Hello"
"to",2,0,7,"Shape of you"
"too",2,0,103,"Shape of you"
"took me back to east atlanta",5,1,4,"Havana"
"town",2,0,126,"Hello"
"traffic",1,0,115,"Havana"
"trust",1,0,45,"Shape of you"
"typical",2,0,104,"Hello"
"uh",1,0,210,"Havana"
"uncle",1,0,126,"Havana"
"up",2,0,15,"Havana"
"up",3,0,38,"Shape of you"
"us",4,0,72,"Hello"
"used",2,0,46,"Hello"
"van",1,0,58,"Shape of you"
"waist",2,0,108,"Shape of you"
"waited",1,0,142,"Havana"
"walk",2,0,14,"Havana"
"want",2,0,79,"Shape of you"
"was",2,0,119,"Havana"
"was",2,0,5,"Hello"
"was",2,0,84,"Shape of you"
"we",4,0,45,"Hello"
"we",7,0,31,"Shape of you"
"we're",1,0,161,"Shape of you"
"week",1,0,154,"Shape of you"
"well",2,0,117,"Hello"
"were",2,0,51,"Hello"
"were",3,0,132,"Shape of you"
"when",4,0,58,"Havana"
"when",2,0,49,"Hello"
"where",2,0,127,"Hello"
"where",1,0,15,"Shape of you"
"who",2,0,44,"Hello"
"with",5,0,16,"Havana"
"with",1,0,41,"Shape of you"
"wondering",2,0,6,"Hello"
"world",2,0,62,"Hello"
"ya",2,0,27,"Hello"
"years",2,0,11,"Hello"
"you",2,0,19,"Havana"
"you",12,0,36,"Hello"
"you",10,0,76,"Shape of you"
"you'd",2,0,12,"Hello"
"you're",2,0,116,"Hello"
"younger",2,0,52,"Hello"
"your",6,0,80,"Shape of you"
